walkers, Energy
214.000000, 0.371484
215.000000, 0.369121
213.000000, 0.373760
213.000000, 0.373730
214.000000, 0.371359
215.000000, 0.368996
215.000000, 0.368962
215.000000, 0.368928
215.000000, 0.368894
217.000000, 0.364231
218.000000, 0.361894
218.000000, 0.361854
218.000000, 0.361813
219.000000, 0.359485
219.000000, 0.359443
219.000000, 0.359401
221.000000, 0.354813
221.000000, 0.354767
219.000000, 0.359266
219.000000, 0.359224
218.000000, 0.361470
218.000000, 0.361430
217.000000, 0.363689
215.000000, 0.368281
215.000000, 0.368248
216.000000, 0.365894
221.000000, 0.354417
219.000000, 0.358916
219.000000, 0.358875
220.000000, 0.356555
220.000000, 0.356511
221.000000, 0.354200
220.000000, 0.356422
219.000000, 0.358656
218.000000, 0.360903
218.000000, 0.360864
218.000000, 0.360824
219.000000, 0.358497
219.000000, 0.358455
217.000000, 0.363001
217.000000, 0.362964
217.000000, 0.362927
218.000000, 0.360591
220.000000, 0.355986
219.000000, 0.358221
220.000000, 0.355902
220.000000, 0.355859
219.000000, 0.358094
219.000000, 0.358053
221.000000, 0.353466
221.000000, 0.353421
222.000000, 0.351119
221.000000, 0.353329
220.000000, 0.355552
220.000000, 0.355509
220.000000, 0.355467
220.000000, 0.355424
220.000000, 0.355381
221.000000, 0.353071
221.000000, 0.353026
221.000000, 0.352982
222.000000, 0.350680
221.000000, 0.352891
221.000000, 0.352846
223.000000, 0.348297
223.000000, 0.348249
226.000000, 0.341519
226.000000, 0.341465
226.000000, 0.341411
225.000000, 0.343574
226.000000, 0.341304
225.000000, 0.343468
225.000000, 0.343416
226.000000, 0.341146
226.000000, 0.341092
226.000000, 0.341039
226.000000, 0.340985
227.000000, 0.338724
227.000000, 0.338668
229.000000, 0.334226
229.000000, 0.334167
232.000000, 0.327600
232.000000, 0.327535
232.000000, 0.327470
232.000000, 0.327405
232.000000, 0.327340
232.000000, 0.327276
231.000000, 0.329371
231.000000, 0.329308
231.000000, 0.329245
231.000000, 0.329183
231.000000, 0.329120
232.000000, 0.326898
231.000000, 0.328993
231.000000, 0.328931
232.000000, 0.326708
231.000000, 0.328804
232.000000, 0.326582
232.000000, 0.326518
232.000000, 0.326454
232.000000, 0.326390
231.000000, 0.328486
231.000000, 0.328424
232.000000, 0.326202
232.000000, 0.326138
231.000000, 0.328234
230.000000, 0.330342
229.000000, 0.332461
230.000000, 0.330224
230.000000, 0.330164
230.000000, 0.330104
230.000000, 0.330045
229.000000, 0.332164
228.000000, 0.334294
229.000000, 0.332050
227.000000, 0.336379
225.000000, 0.340750
225.000000, 0.340700
225.000000, 0.340650
225.000000, 0.340600
223.000000, 0.345014
224.000000, 0.342731
224.000000, 0.342683
222.000000, 0.347119
222.000000, 0.347075
222.000000, 0.347031
223.000000, 0.344740
223.000000, 0.344694
224.000000, 0.342411
224.000000, 0.342364
224.000000, 0.342316
224.000000, 0.342268
224.000000, 0.342221
222.000000, 0.346658
222.000000, 0.346614
222.000000, 0.346570
222.000000, 0.346527
222.000000, 0.346483
222.000000, 0.346440
222.000000, 0.346396
222.000000, 0.346353
222.000000, 0.346309
223.000000, 0.344018
222.000000, 0.346220
223.000000, 0.343930
223.000000, 0.343885
223.000000, 0.343840
223.000000, 0.343794
223.000000, 0.343749
223.000000, 0.343704
223.000000, 0.343659
223.000000, 0.343614
223.000000, 0.343570
221.000000, 0.348029
219.000000, 0.352534
221.000000, 0.347951
220.000000, 0.350177
220.000000, 0.350138
220.000000, 0.350099
218.000000, 0.354626
218.000000, 0.354591
218.000000, 0.354556
217.000000, 0.356819
217.000000, 0.356786
215.000000, 0.361382
216.000000, 0.359032
216.000000, 0.359001
216.000000, 0.358970
216.000000, 0.358938
216.000000, 0.358907
217.000000, 0.356566
216.000000, 0.358843
217.000000, 0.356502
216.000000, 0.358778
216.000000, 0.358747
215.000000, 0.361036
215.000000, 0.361007
215.000000, 0.360978
214.000000, 0.363279
214.000000, 0.363252
212.000000, 0.367920
211.000000, 0.370260
211.000000, 0.370239
212.000000, 0.367853
211.000000, 0.370194
211.000000, 0.370172
210.000000, 0.372526
210.000000, 0.372507
211.000000, 0.370112
211.000000, 0.370090
