# dt = 0.00020 ps ; n_timesteps = 10000
# masses = [1.66e-03, 1.24e-03, 1.66e-03] m_asu ; kappa = 9.9825e+01 m_asu ps^(-2)
# f[1/ps], p_1[Å^-2], p_2[Å^-2], p_3[Å^-2]
-2.41226e+03, 6.45668e-11, 4.89578e-09, 1.97959e-09 
-2.41176e+03, 6.45692e-11, 4.89595e-09, 1.97966e-09 
-2.41126e+03, 6.45715e-11, 4.89612e-09, 1.97973e-09 
-2.41076e+03, 6.45739e-11, 4.89630e-09, 1.97980e-09 
-2.41026e+03, 6.45763e-11, 4.89647e-09, 1.97987e-09 
-2.40976e+03, 6.45787e-11, 4.89664e-09, 1.97994e-09 
-2.40926e+03, 6.45811e-11, 4.89682e-09, 1.98001e-09 
-2.40876e+03, 6.45835e-11, 4.89700e-09, 1.98008e-09 
-2.40826e+03, 6.45860e-11, 4.89717e-09, 1.98015e-09 
-2.40776e+03, 6.45884e-11, 4.89735e-09, 1.98022e-09 
-2.40726e+03, 6.45909e-11, 4.89753e-09, 1.98030e-09 
-2.40676e+03, 6.45934e-11, 4.89771e-09, 1.98037e-09 
-2.40626e+03, 6.45959e-11, 4.89790e-09, 1.98044e-09 
-2.40576e+03, 6.45984e-11, 4.89808e-09, 1.98052e-09 
-2.40526e+03, 6.46009e-11, 4.89826e-09, 1.98059e-09 
-2.40476e+03, 6.46034e-11, 4.89845e-09, 1.98066e-09 
-2.40426e+03, 6.46060e-11, 4.89863e-09, 1.98074e-09 
-2.40376e+03, 6.46086e-11, 4.89882e-09, 1.98082e-09 
-2.40326e+03, 6.46111e-11, 4.89901e-09, 1.98089e-09 
-2.40276e+03, 6.46137e-11, 4.89920e-09, 1.98097e-09 
-2.40226e+03, 6.46163e-11, 4.89939e-09, 1.98104e-09 
-2.40176e+03, 6.46189e-11, 4.89958e-09, 1.98112e-09 
-2.40126e+03, 6.46216e-11, 4.89977e-09, 1.98120e-09 
